# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 627K of event 'cycles:ppp'
# Event count (approx.): 433495634427
#
# Overhead  Command          Shared Object                   Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  ..............................  ................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.03%  rocksdb:low0     [kernel.kallsyms]               [k] __fsnotify_parent
     0.03%  rocksdb:low0     [vdso]                          [.] 0x0000000000000977
     0.03%  rocksdb:low0     [kernel.kallsyms]               [k] mem_cgroup_try_charge
     0.03%  rocksdb:low0     [kernel.kallsyms]               [k] replace_slot
     0.03%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::ShardedCache::Insert
     0.03%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::FSWritableFile::PrepareWrite
     0.03%  read_bottleneck  libpthread-2.27.so              [.] __pthread_disable_asynccancel
     0.03%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::MemTable::Get
     0.03%  read_bottleneck  libpthread-2.27.so              [.] __libc_write
     0.03%  rocksdb:low0     [kernel.kallsyms]               [k] mpage_map_and_submit_buffers
     0.03%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::SyncPoint::Process
     0.03%  rocksdb:low0     [kernel.kallsyms]               [k] __set_page_dirty
     0.03%  read_bottleneck  [kernel.kallsyms]               [k] rw_verify_area
     0.03%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::CompressBlock
     0.03%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::LRUHandleTable::Insert
     0.03%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::WriteThread::JoinBatchGroup
     0.03%  rocksdb:low0     [kernel.kallsyms]               [k] radix_tree_lookup_slot
     0.03%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::ConcurrentArena::AllocateAligned
     0.03%  read_bottleneck  read_bottleneck_breakdown_test  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>
     0.03%  rocksdb:low0     read_bottleneck_breakdown_test  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace@plt
     0.03%  read_bottleneck  [kernel.kallsyms]               [k] __ext4_journal_start_sb
     0.03%  rocksdb:low0     [kernel.kallsyms]               [k] _raw_spin_unlock_irqrestore
     0.03%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::StopWatch::StopWatch
     0.03%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::MemTableInserter::SeekToColumnFamily
     0.03%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::VerifyBlockChecksum
     0.03%  rocksdb:low0     [kernel.kallsyms]               [k] mem_cgroup_uncharge_list
     0.03%  rocksdb:low0     [kernel.kallsyms]               [k] try_to_release_page
     0.03%  read_bottleneck  read_bottleneck_breakdown_test  [.] std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rocksdb::LockInfo>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rocksdb::LockInfo> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::find
     0.03%  read_bottleneck  [kernel.kallsyms]               [k] __ext4_journal_stop
     0.03%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::StopWatch::StopWatch
     0.03%  rocksdb:low0     [kernel.kallsyms]               [k] add_transaction_credits
     0.03%  read_bottleneck  read_bottleneck_breakdown_test  [.] memcpy@plt
     0.03%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::SkipList<rocksdb::WriteBatchIndexEntry*, rocksdb::WriteBatchEntryComparator const&>::FindGreaterOrEqual
     0.03%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::TransactionBaseImpl::Clear
     0.03%  read_bottleneck  [kernel.kallsyms]               [k] __wake_up_common_lock
     0.03%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::WriteBatchWithIndexInternal::GetFromBatch
     0.03%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::(anonymous namespace)::LevelIterator::value
     0.03%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::DataBlockIter::~DataBlockIter
     0.03%  rocksdb:low0     [kernel.kallsyms]               [k] aa_file_perm
     0.03%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTableIterator::FindKeyForward
     0.03%  rocksdb:low0     libpthread-2.27.so              [.] __pthread_disable_asynccancel
     0.03%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::WriteThread::ExitAsBatchGroupLeader
     0.03%  rocksdb:low0     [kernel.kallsyms]               [k] lock_page_memcg
     0.03%  rocksdb:low0     [vdso]                          [.] 0x0000000000000974
     0.03%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::(anonymous namespace)::BytewiseComparatorImpl::CompareWithoutTimestamp
     0.03%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::SuperVersionContext::Clean
     0.03%  read_bottleneck  read_bottleneck_breakdown_test  [.] std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rocksdb::LockInfo>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rocksdb::LockInfo> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_insert_unique_node
     0.03%  rocksdb:low0     [kernel.kallsyms]               [k] get_mem_cgroup_from_mm
     0.03%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::WriteBatch::WriteBatch
     0.03%  rocksdb:low0     [kernel.kallsyms]               [k] free_unref_page_list
     0.03%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::TransactionBaseImpl::~TransactionBaseImpl
     0.03%  rocksdb:low0     [kernel.kallsyms]               [k] inc_zone_page_state
     0.03%  read_bottleneck  [kernel.kallsyms]               [k] add_transaction_credits
     0.03%  rocksdb:low0     [kernel.kallsyms]               [k] unaccount_page_cache_page
     0.03%  read_bottleneck  [kernel.kallsyms]               [k] mark_buffer_dirty
     0.03%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::port::Mutex::Lock
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::Block::IndexType
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTable::GetEntryFromCache
     0.02%  rocksdb:high0    libstdc++.so.6.0.25             [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append
     0.02%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockBuilder::Reset
     0.02%  read_bottleneck  [kernel.kallsyms]               [k] block_write_end
     0.02%  rocksdb:high0    [kernel.kallsyms]               [k] __block_commit_write.isra.34
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] block_write_end
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::InstrumentedMutex::Lock
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::TransactionBaseImpl::TrackKey
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::PessimisticTransactionDB::TryLock
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::MemTableListVersion::GetFromList
     0.02%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::SyncPoint::GetInstance
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::DBImpl::MergeBatch
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] __wake_up_bit
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] bio_add_page
     0.02%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::Cleanable::RegisterCleanup
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] __ext4_handle_dirty_metadata
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] add_to_page_cache_lru
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] std::_Hashtable<unsigned int, std::pair<unsigned int const, std::unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, rocksdb::TrackedKeyInfo, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rocksdb::TrackedKeyInfo> > > >, std::allocator<std::pair<unsigned int const, std::unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, rocksdb::TrackedKeyInfo, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rocksdb::TrackedKeyInfo> > > > >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::clear
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::ThreadLocalPtr::StaticMeta::Get
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::ThreadLocalPtr::Get
     0.02%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTableBuilder::EstimatedFileSize
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rocksdb::LockInfo>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rocksdb::LockInfo> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_emplace<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, rocksdb::LockInfo>
     0.02%  rocksdb:high0    read_bottleneck_breakdown_test  [.] rocksdb::MemTableIterator::key
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] node_page_state
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] ext4_mark_iloc_dirty
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] ext4_mark_inode_dirty
     0.02%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::ShortenedIndexBuilder::OnKeyAdded
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::BlockIter<rocksdb::IndexValue>::status
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::Arena::~Arena
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] operator new@plt
     0.02%  read_bottleneck  [kernel.kallsyms]               [k] __wake_up_common
     0.02%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::LRUCacheShard::Lookup
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::BlockIter<rocksdb::IndexValue>::UpdateKey
     0.02%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::GetVarint64Ptr
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::TransactionBaseImpl::Get
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] _raw_read_lock
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::WriteBatchWithIndex::WriteBatchWithIndex
     0.02%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::crc32c::Extend
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] alloc_pages_current
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] mem_cgroup_charge_statistics
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] jbd2_journal_try_to_free_buffers
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] ext4_invalidatepage
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::port::Mutex::Unlock
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] mem_cgroup_commit_charge
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] mpage_submit_page
     0.02%  rocksdb:high0    read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTableBuilder::Add
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] std::__lower_bound<rocksdb::FdWithKeyRange*, rocksdb::Slice, __gnu_cxx::__ops::_Iter_comp_val<rocksdb::(anonymous namespace)::FindFileInRange(rocksdb::InternalKeyComparator const&, rocksdb::LevelFilesBrief const&, rocksdb::Slice const&, unsigned int, unsigned int)::{lambda(rocksdb::FdWithKeyRange const&, rocksdb::Slice const&)#1}> >
     0.02%  read_bottleneck  [kernel.kallsyms]               [k] _raw_read_lock
     0.02%  read_bottleneck  [kernel.kallsyms]               [k] ext4_file_read_iter
     0.02%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockHandle::DecodeFrom
     0.02%  read_bottleneck  [kernel.kallsyms]               [k] jbd2_journal_dirty_metadata
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] page_cache_free_page.isra.30
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] blk_rq_map_sg
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::ThreadLocalPtr::InitSingletons
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::IndexBlockIter::~IndexBlockIter
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] ext4_es_lookup_extent
     0.02%  rocksdb:high0    [kernel.kallsyms]               [k] ext4_da_invalidatepage
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::LRUCacheShard::Lookup
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::MemTableInserter::MarkNoop
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] ext4_update_bh_state
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::BlockCacheLookupContext::~BlockCacheLookupContext
     0.02%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::Block::IndexType
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::ParseInternalKey
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::FileIndexer::GetNextLevelIndex
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::TransactionBaseImpl::Get
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::Block::ApproximateMemoryUsage
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::BlockIter<rocksdb::Slice>::UpdateKey
     0.02%  read_bottleneck  [kernel.kallsyms]               [k] account_page_dirtied
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] std::_Hashtable<unsigned int, std::pair<unsigned int const, std::unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, rocksdb::TrackedKeyInfo, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rocksdb::TrackedKeyInfo> > > >, std::allocator<std::pair<unsigned int const, std::unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, rocksdb::TrackedKeyInfo, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rocksdb::TrackedKeyInfo> > > > >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::BlockFetcher::~BlockFetcher
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] touch_atime
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] __fdget
     0.02%  rocksdb:low0     read_bottleneck_breakdown_test  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>
     0.02%  rocksdb:high0    read_bottleneck_breakdown_test  [.] rocksdb::OutputValidator::Add
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] ext4_dirty_inode
     0.02%  read_bottleneck  [kernel.kallsyms]               [k] __mark_inode_dirty
     0.02%  rocksdb:high0    [kernel.kallsyms]               [k] get_page_from_freelist
     0.02%  read_bottleneck  [kernel.kallsyms]               [k] ext4_mark_iloc_dirty
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] rw_verify_area
     0.02%  read_bottleneck  libstdc++.so.6.0.25             [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_assign
     0.02%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockFetcher::~BlockFetcher
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] ext4_inode_csum_set
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::VersionSet::SetLastSequence
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::PointLockTracker::GetPointLockStatus
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] balance_dirty_pages_ratelimited
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] pagevec_lru_move_fn
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rocksdb::TrackedKeyInfo>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rocksdb::TrackedKeyInfo> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_emplace<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, rocksdb::TrackedKeyInfo>
     0.02%  read_bottleneck  libstdc++.so.6.0.25             [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::ReadOptions::ReadOptions
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::TransactionDBMutexImpl::TryLockFor
     0.02%  rocksdb:low0     libc-2.27.so                    [.] __clock_gettime
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::(anonymous namespace)::SkipListRep::Get
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::GetColumnFamilyID
     0.02%  rocksdb:high0    read_bottleneck_breakdown_test  [.] rocksdb::MemTableIterator::value
     0.02%  read_bottleneck  libstdc++.so.6.0.25             [.] memcpy@plt
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::FlushScheduler::Empty
     0.02%  read_bottleneck  [kernel.kallsyms]               [k] radix_tree_lookup_slot
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::PerfStepTimer::Stop
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::SuperVersionContext::~SuperVersionContext
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::PointLockManager::AcquireLocked
     0.02%  read_bottleneck  [kernel.kallsyms]               [k] ext4_finish_bio
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rocksdb::TrackedKeyInfo>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rocksdb::TrackedKeyInfo> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_insert_unique_node
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] ___slab_alloc
     0.02%  rocksdb:high0    [kernel.kallsyms]               [k] ext4_do_update_inode
     0.02%  rocksdb:low0     read_bottleneck_breakdown_test  [.] std::vector<unsigned int, std::allocator<unsigned int> >::emplace_back<unsigned int>
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::WriteCommittedTxnDB::BeginTransaction
     0.02%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::CachableEntry<rocksdb::Block>::DeleteValue
     0.02%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::UncompressionDict::GetEmptyDict
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] iov_iter_advance
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::DBImpl::GetEnv
     0.02%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::Hash64
     0.02%  rocksdb:high0    [kernel.kallsyms]               [k] free_pcppages_bulk
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] __radix_tree_preload
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::CompressionContextCache::Instance
     0.02%  read_bottleneck  [kernel.kallsyms]               [k] ext4_dirty_inode
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create@plt
     0.02%  read_bottleneck  [kernel.kallsyms]               [k] __fdget_pos
     0.02%  read_bottleneck  [kernel.kallsyms]               [k] touch_atime
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::ColumnFamilyData::GetThreadLocalSuperVersion
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] truncate_cleanup_page
     0.02%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::IndexValue::DecodeFrom
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTable::UpdateCacheInsertionMetrics
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] free_unref_page_commit
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::autovector<unsigned long, 8ul>::assign
     0.02%  read_bottleneck  [kernel.kallsyms]               [k] new_sync_write
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::PerfStepTimer::Stop
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] uncharge_page
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] ext4_get_group_desc
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] gettimeofday@plt
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] __wake_up_common
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] __getblk_gfp
     0.02%  read_bottleneck  [kernel.kallsyms]               [k] __ext4_handle_dirty_metadata
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTable::UpdateCacheHitMetrics
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::Cleanable::~Cleanable
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] memset_erms
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTable::InitBlockIterator<rocksdb::DataBlockIter>
     0.02%  read_bottleneck  [kernel.kallsyms]               [k] _raw_spin_unlock_irqrestore
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::WriteThread::Writer::FinalStatus
     0.02%  read_bottleneck  [kernel.kallsyms]               [k] wait_for_stable_page
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*> >::_M_realloc_insert<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*>
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::EncodeVarint32
     0.02%  read_bottleneck  [kernel.kallsyms]               [k] test_clear_page_writeback
     0.02%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::LRUHandleTable::Remove
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::LookupKey::LookupKey
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::GetContext::SaveValue
     0.02%  read_bottleneck  [kernel.kallsyms]               [k] __add_to_page_cache_locked
     0.02%  rocksdb:high0    read_bottleneck_breakdown_test  [.] rocksdb::SyncPoint::Data::Process
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::ThreadLocalPtr::StaticMeta::CompareAndSwap
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::ColumnFamilyHandleImpl::GetComparator
     0.02%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::GetContext::GetContext
     0.02%  rocksdb:low0     libstdc++.so.6.0.25             [.] operator delete
     0.02%  rocksdb:low0     [kernel.kallsyms]               [k] tag_pages_for_writeback
     0.02%  rocksdb:low0     read_bottleneck_breakdown_test  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string
